from,rel,to
dim.1,has_criterion,criterion.1_1
dim.1,has_criterion,criterion.1_2
dim.1,has_criterion,criterion.1_3
dim.1,has_criterion,criterion.1_4
dim.1,has_criterion,criterion.1_5
criterion.1_5,cross_references,criterion.6_2
dim.1,has_criterion,criterion.1_6
dim.1,has_criterion,criterion.1_7
dim.1,has_criterion,criterion.1_8
dim.2,has_criterion,criterion.2_1
dim.2,has_criterion,criterion.2_2
dim.2,has_criterion,criterion.2_3
dim.2,has_criterion,criterion.2_4
dim.2,has_criterion,criterion.2_5
dim.2,has_criterion,criterion.2_6
dim.2,has_criterion,criterion.2_7
dim.3,has_criterion,criterion.3_1
dim.3,has_criterion,criterion.3_2
dim.3,has_criterion,criterion.3_3
dim.3,has_criterion,criterion.3_4
dim.3,has_criterion,criterion.3_5
dim.3,has_criterion,criterion.3_6
dim.4,has_criterion,criterion.4_1
dim.4,has_criterion,criterion.4_2
dim.4,has_criterion,criterion.4_3
dim.4,has_criterion,criterion.4_4
dim.4,has_criterion,criterion.4_5
dim.4,has_criterion,criterion.4_6
dim.5,has_criterion,criterion.5_1
dim.5,has_criterion,criterion.5_2
dim.5,has_criterion,criterion.5_3
criterion.5_3,cross_references,criterion.4_1
dim.5,has_criterion,criterion.5_4
dim.5,has_criterion,criterion.5_5
dim.5,has_criterion,criterion.5_6
dim.5,has_criterion,criterion.5_7
dim.5,has_criterion,criterion.5_8
criterion.5_8,cross_references,criterion.4_5
dim.6,has_criterion,criterion.6_1
dim.6,has_criterion,criterion.6_2
criterion.6_2,cross_references,criterion.1_5
dim.6,has_criterion,criterion.6_3
dim.6,has_criterion,criterion.6_4
dim.6,has_criterion,criterion.6_5
dim.6,has_criterion,criterion.6_6
dim.6,has_criterion,criterion.6_7
dim.7,has_criterion,criterion.7_1
dim.7,has_criterion,criterion.7_2
dim.7,has_criterion,criterion.7_3
dim.7,has_criterion,criterion.7_4
dim.7,has_criterion,criterion.7_5
dim.7,has_criterion,criterion.7_6
dim.7,has_criterion,criterion.7_7
dim.8,has_criterion,criterion.8_1
dim.8,has_criterion,criterion.8_2
criterion.8_2,cross_references,criterion.5_5
dim.8,has_criterion,criterion.8_3
dim.8,has_criterion,criterion.8_4
dim.8,has_criterion,criterion.8_5
criterion.8_5,cross_references,criterion.6_2
dim.8,has_criterion,criterion.8_6
dim.8,has_criterion,criterion.8_7
criterion.8_7,cross_references,criterion.3_6
dim.8,has_criterion,criterion.8_8
dim.9,has_criterion,criterion.9_1
dim.9,has_criterion,criterion.9_2
dim.9,has_criterion,criterion.9_3
dim.9,has_criterion,criterion.9_4
dim.9,has_criterion,criterion.9_5
dim.9,has_criterion,criterion.9_6
criterion.9_6,cross_references,criterion.5_3
criterion.9_6,cross_references,criterion.5_5
chapter.00,precedes,chapter.01
chapter.01,precedes,chapter.02
chapter.03,covers_dimension,dim.1
chapter.02,precedes,chapter.03
chapter.04,covers_dimension,dim.6
chapter.04,covers_dimension,dim.4
chapter.03,precedes,chapter.04
chapter.05,covers_dimension,dim.2
chapter.04,precedes,chapter.05
chapter.06,covers_dimension,dim.3
chapter.05,precedes,chapter.06
chapter.07,covers_dimension,dim.4
chapter.06,precedes,chapter.07
chapter.08,covers_dimension,dim.5
chapter.07,precedes,chapter.08
chapter.09,covers_dimension,dim.7
chapter.08,precedes,chapter.09
chapter.10,covers_dimension,dim.8
chapter.09,precedes,chapter.10
chapter.11,covers_dimension,dim.9
chapter.10,precedes,chapter.11
chapter.12,covers_dimension,dim.1
chapter.12,covers_dimension,dim.7
chapter.11,precedes,chapter.12
chapter.12,precedes,chapter.13
phase.1,produces_artifact,template.engagement_plan
phase.1,produces_artifact,template.stakeholder_map
phase.2,depends_on,phase.1
phase.1,precedes,phase.2
phase.2,produces_artifact,template.interview_guide
phase.3,depends_on,phase.2
phase.2,precedes,phase.3
phase.3,produces_artifact,template.interview_log
phase.4,depends_on,phase.3
phase.3,precedes,phase.4
phase.4,produces_artifact,template.as_is_findings
phase.5,depends_on,phase.4
phase.4,precedes,phase.5
phase.5,produces_artifact,template.gap_analysis
phase.6,depends_on,phase.5
phase.5,precedes,phase.6
phase.6,produces_artifact,template.backlog_story
phase.6,produces_artifact,template.roadmap_waves
phase.7,depends_on,phase.6
phase.6,precedes,phase.7
phase.7,produces_artifact,template.next_steps_memo
phase.8,depends_on,phase.7
phase.7,precedes,phase.8
phase.8,produces_artifact,template.readout_deck_storyline
phase.8,produces_artifact,template.executive_summary
craft.problem_first_scoping,supports_craft,criterion.4_1
craft.problem_first_scoping,supports_craft,criterion.4_4
craft.evals_guardrails,supports_craft,criterion.4_5
craft.production_readiness,supports_craft,criterion.4_6
craft.tool_design_permissioning,supports_craft,criterion.5_5
craft.tool_design_permissioning,supports_craft,criterion.8_3
craft.retrieval_craft,supports_craft,criterion.3_4
craft.retrieval_craft,supports_craft,criterion.3_5
craft.agent_memory,supports_craft,criterion.4_3
craft.observability_minimum,supports_craft,criterion.5_5
craft.ux_of_ai,supports_craft,criterion.6_7
craft.the_agent_spectrum_the_90_rule,supports_craft,criterion.4_1
craft.the_agent_spectrum_the_90_rule,supports_craft,criterion.1_4
craft.role_based_enablement,supports_craft,criterion.7_1
craft.role_based_enablement,supports_craft,criterion.7_2
craft.role_based_enablement,supports_craft,criterion.7_3
concept.skill,related_to,concept.knowledge_moat
concept.skills_as_documentation,related_to,concept.skill
concept.harness,related_to,concept.agent
concept.capability_ladder,related_to,concept.agent
concept.capability_ladder,related_to,concept.skill
concept.autonomy_ladder,related_to,concept.autonomy_gate
concept.autonomy_gate,related_to,concept.autonomy_ladder
concept.mcp_a2a,related_to,concept.control_plane
concept.control_plane,related_to,concept.mcp_a2a
concept.durable_execution,related_to,concept.harness
concept.agent_washing,related_to,concept.agent
concept.the_two_moats,related_to,concept.knowledge_moat
concept.the_two_moats,related_to,concept.build_to_delete
concept.build_to_delete,related_to,concept.the_two_moats
concept.knowledge_moat,related_to,concept.the_two_moats
concept.knowledge_moat,related_to,concept.skill
concept.the_90_rule,related_to,concept.agent
concept.augmentation_first,related_to,concept.autonomy_gate
concept.augmentation_first,related_to,concept.the_two_moats
block.1,maps_to_dimension,dim.1
block.2,maps_to_dimension,dim.6
block.2,maps_to_dimension,dim.4
block.3,maps_to_dimension,dim.2
block.3,maps_to_dimension,dim.3
block.4,maps_to_dimension,dim.4
block.4,maps_to_dimension,dim.5
block.5,maps_to_dimension,dim.7
block.6,maps_to_dimension,dim.8
block.6,maps_to_dimension,dim.9
block.7,maps_to_dimension,dim.1
block.7,maps_to_dimension,dim.7
concept.autonomy_gate,exemplifies,dim.6
concept.autonomy_gate,exemplifies,dim.4
concept.the_two_moats,exemplifies,dim.2
concept.the_two_moats,exemplifies,dim.3
concept.knowledge_moat,exemplifies,dim.2
concept.build_to_delete,exemplifies,dim.4
concept.build_to_delete,exemplifies,dim.5
concept.augmentation_first,exemplifies,dim.1
concept.augmentation_first,exemplifies,dim.6
concept.control_plane,exemplifies,dim.5
concept.durable_execution,exemplifies,dim.5
concept.agent_washing,exemplifies,dim.4
concept.the_90_rule,exemplifies,dim.4
method.mckinsey_method,applies_to_phase,phase.4
method.mckinsey_method,applies_to_phase,phase.8
method.interview_method,applies_to_phase,phase.2
method.interview_method,applies_to_phase,phase.3
method.analysis_method,applies_to_phase,phase.3
method.analysis_method,applies_to_phase,phase.4
method.deliverable_standards,applies_to_phase,phase.8
method.diagram_toolkit,applies_to_phase,phase.4
method.diagram_toolkit,applies_to_phase,phase.5
method.diagram_toolkit,applies_to_phase,phase.8
method.state_management,applies_to_phase,phase.1
concept.augmentation_first,references_criterion,criterion.1_1
concept.augmentation_first,references_criterion,criterion.1_6
concept.augmentation_first,references_criterion,criterion.4_1
concept.augmentation_first,references_criterion,criterion.4_4
concept.autonomy_gate,references_criterion,criterion.4_4
concept.autonomy_gate,references_criterion,criterion.5_3
concept.autonomy_gate,references_criterion,criterion.6_2
concept.autonomy_ladder,references_criterion,criterion.1_1
concept.autonomy_ladder,references_criterion,criterion.4_4
concept.knowledge_moat,references_criterion,criterion.2_1
concept.knowledge_moat,references_criterion,criterion.2_2
concept.knowledge_moat,references_criterion,criterion.2_5
concept.knowledge_moat,references_criterion,criterion.2_7
concept.skill,references_criterion,criterion.2_1
concept.skill,references_criterion,criterion.2_2
concept.skill,references_criterion,criterion.2_3
concept.skill,references_criterion,criterion.2_4
concept.skill,references_criterion,criterion.2_5
concept.skill,references_criterion,criterion.2_6
concept.harness,references_criterion,criterion.1_7
concept.harness,references_criterion,criterion.4_2
concept.agent,references_criterion,criterion.4_1
concept.agent,references_criterion,criterion.4_2
concept.agent,references_criterion,criterion.4_3
concept.agent,references_criterion,criterion.4_4
concept.agent,references_criterion,criterion.4_5
concept.agent,references_criterion,criterion.4_6
concept.agent,references_criterion,criterion.5_4
concept.control_plane,references_criterion,criterion.5_5
concept.control_plane,references_criterion,criterion.5_6
concept.durable_execution,references_criterion,criterion.4_3
concept.durable_execution,references_criterion,criterion.5_6
concept.mcp_a2a,references_criterion,criterion.1_7
concept.mcp_a2a,references_criterion,criterion.3_3
concept.mcp_a2a,references_criterion,criterion.5_5
concept.the_90_rule,references_criterion,criterion.4_1
concept.the_90_rule,references_criterion,criterion.4_3
concept.capability_ladder,references_criterion,criterion.4_3
concept.capability_ladder,references_criterion,criterion.4_4
concept.agent_washing,references_criterion,criterion.1_4
concept.agent_washing,references_criterion,criterion.1_7
concept.agent_washing,references_criterion,criterion.3_3
concept.build_to_delete,references_criterion,criterion.1_8
concept.build_to_delete,references_criterion,criterion.4_2
concept.build_to_delete,references_criterion,criterion.4_3
concept.the_two_moats,references_criterion,criterion.1_8
concept.skills_as_documentation,references_criterion,criterion.2_1
concept.skills_as_documentation,references_criterion,criterion.2_2
concept.skills_as_documentation,references_criterion,criterion.6_5
concept.template_vs_client_backlog,references_criterion,criterion.5_4
craft.problem_first_scoping,references_criterion,criterion.1_1
craft.problem_first_scoping,references_criterion,criterion.1_2
craft.problem_first_scoping,references_criterion,criterion.1_6
craft.problem_first_scoping,references_criterion,criterion.6_1
craft.problem_first_scoping,references_criterion,criterion.6_2
craft.evals_guardrails,references_criterion,criterion.4_4
craft.evals_guardrails,references_criterion,criterion.4_6
craft.evals_guardrails,references_criterion,criterion.6_5
craft.evals_guardrails,references_criterion,criterion.8_3
craft.evals_guardrails,references_criterion,criterion.9_3
craft.evals_guardrails,references_criterion,criterion.2_5
craft.production_readiness,references_criterion,criterion.4_4
craft.production_readiness,references_criterion,criterion.5_5
craft.production_readiness,references_criterion,criterion.5_7
craft.production_readiness,references_criterion,criterion.6_6
craft.production_readiness,references_criterion,criterion.8_6
craft.retrieval_craft,references_criterion,criterion.3_3
craft.retrieval_craft,references_criterion,criterion.4_3
craft.retrieval_craft,references_criterion,criterion.4_5
craft.retrieval_craft,references_criterion,criterion.8_3
